ENSG00000000003	0	,	0	,	0	0
ENSG00000003987	11	,0.0008,0.0008,0.0008,0.0008,0.0091,0.0008,0.0008,0.0008,0.0008,0.0015,0.0008,	14	,0.0008,0.0015,0.0015,0.0303,0.0008,0.0008,0.028,0.0015,0.0076,0.0272,0.4864,0.0008,0.0023,0.034,	1	2
ENSG00000003989	19	,0.0098,0.0008,0.003,0.0015,0.0091,0.0008,0.0008,0.0023,0.0008,0.0008,0.0008,0.0045,0.0053,0.0061,0.0008,0.0008,0.0008,0.0053,0.0008,	16	,0.0469,0.0008,0.0008,0.003,0.0008,0.0008,0.0045,0.0008,0.0166,0.0189,0.0151,0.1369,0.0023,0.0492,0.0053,0.0008,	5	8
ENSG00000004059	1	,0.0008,	1	,0.084,	0	0
ENSG00000004399	42	,0.0008,0.0015,0.0008,0.0008,0.0015,0.0008,0.0023,0.0008,0.0008,0.0008,0.2171,0.0008,0.0008,0.0008,0.0008,0.0008,0.0053,0.0008,0.0008,0.0008,0.0439000000000001,0.0098,0.2753,0.003,0.0008,0.0015,0.0121,0.0008,0.0008,0.0061,0.0734,0.0015,0.003,0.1263,0.0068,0.0008,0.0242,0.0159,0.0015,0.0008,0.0008,0.0008,	41	,0.0008,0.6694,0.003,0.0008,0.0015,0.0008,0.0015,0.0295,0.0045,0.0008,0.3956,0.2262,0.0008,0.3495,0.0182,0.0008,0.0038,0.003,0.0008,0.0015,0.3427,0.3964,0.0174,0.0008,0.0492,0.0015,0.1611,0.0015,0.0855,0.0023,0.0847,0.0015,0.0098,0.0023,0.003,0.0023,0.0552,0.0008,0.0809,0.0008,0.0008,	5	4
ENSG00000004455	6	,0.0008,0.0083,0.0008,0.0008,0.0008,0.0008,	2	,0.0015,0.0053,	0	0
ENSG00000004468	6	,0.0008,0.0008,0.003,0.0008,0.0008,0.0008,	3	,0.0023,0.087,0.0023,	1	1
ENSG00000004478	10	,0.0061,0.0008,0.0008,0.0008,0.0008,0.0008,0.0015,0.0008,0.0015,0.0272,	2	,0.0023,0.0008,	1	2
ENSG00000004487	0	,	8	,0.0008,0.1422,0.0008,0.0151,0.0015,0.0008,0.0144,0.0159,	0	5
ENSG00000004534	11	,0.0008,0.0008,0.003,0.0008,0.003,0.0257,0.0008,0.0008,0.0008,0.0015,0.0015,	10	,0.0008,0.0008,0.0008,0.0008,0.0015,0.0008,0.0287,0.0008,0.0514,0.7458,	1	0
ENSG00000004660	8	,0.0008,0.1044,0.0008,0.0008,0.9992,0.0091,0.0008,0.0008,	11	,0.0008,0.0008,0.0008,0.4614,0.0053,0.0015,0.0008,0.947,0.2118,0.0008,0.0076,	1	1
ENSG00000004700	14	,0.0008,0.0008,0.0635,0.0015,0.0008,0.0008,0.0008,0.0008,0.0008,0.0023,0.0008,0.0008,0.1634,0.0008,	6	,0.1483,0.1483,0.0015,0.0008,0.0015,0.0106,	1	3
ENSG00000004766	7	,0.0008,0.0076,0.0008,0.028,0.0008,0.0008,0.0469,	4	,0.0008,0.0068,0.0325,0.385,	2	2
ENSG00000004776	4	,0.0008,0.0068,0.0076,0.0008,	2	,0.0015,0.0008,	1	1
ENSG00000004777	8	,0.0023,0.0008,0.0219,0.0113,0.0061,0.0015,0.0015,0.0008,	28	,0.0008,0.3828,0.0038,0.323,0.0008,0.0008,0.0598,0.0008,0.1089,0.0862,0.003,0.0166,0.0008,0.0242,0.0008,0.0219,0.0008,0.0008,0.003,0.6551,0.0008,0.0008,0.0008,0.0023,0.0008,0.0008,0.0008,0.0008,	1	4
ENSG00000004779	4	,0.003,0.003,0.0015,0.0008,	2	,0.798,0.0008,	0	0
ENSG00000004799	4	,0.0008,0.0008,0.0008,0.0151,	5	,0.0015,0.4039,0.0159,0.0008,0.0008,	1	0
ENSG00000004809	11	,0.9614,0.0008,0.0212,0.0356,0.0008,0.0121,0.0008,0.0968,0.003,0.0008,0.0023,	12	,0.0008,0.0015,0.0061,0.0174,0.0159,0.0015,0.0008,0.0015,0.0008,0.0008,0.6112,0.0121,	1	8
ENSG00000004838	9	,0.0008,0.0219,0.0303,0.0008,0.0076,0.0015,0.0008,0.0008,0.0008,	3	,0.0008,0.0008,0.0015,	0	1
ENSG00000004846	60	,0.0015,0.0091,0.0008,0.0008,0.0681,0.0038,0.0015,0.0038,0.0008,0.0083,0.0053,0.0015,0.0416,0.0083,0.0008,0.0015,0.0015,0.0068,0.9713,0.0008,0.003,0.0008,0.0008,0.0008,0.0008,0.416,0.0008,0.0182,0.0023,0.0008,0.0015,0.0008,0.003,0.0015,0.0076,0.0008,0.1142,0.0015,0.0756,0.0008,0.2534,0.0008,0.0023,0.0008,0.6392,0.0113,0.0008,0.0008,0.0008,0.0008,0.0008,0.0484,0.0038,0.0378,0.0008,0.0023,0.1157,0.0008,0.003,0.0008,	26	,0.0008,0.0159,0.0015,0.0083,0.0008,0.0076,0.0363,0.6014,0.0008,0.0008,0.028,0.0091,0.0038,0.0121,0.0008,0.0242,0.0129,0.0061,0.0023,0.0008,0.0015,0.211,0.0159,0.0008,0.0008,0.0189,	8	8
ENSG00000004864	6	,0.0008,0.003,0.0008,0.0008,0.0008,0.0008,	12	,0.0991,0.0008,0.0537,0.0068,0.0287,0.2481,0.0015,0.0008,0.0439,0.0015,0.0507,0.0008,	0	2
ENSG00000004866	8	,0.0008,0.0008,0.0008,0.0008,0.0015,0.0015,0.0015,0.0008,	5	,0.0008,0.0045,0.0008,0.0008,0.0008,	0	4
ENSG00000004897	7	,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,	6	,0.1074,0.0038,0.9811,0.1127,0.0197,0.0008,	1	0
ENSG00000004939	21	,0.0008,0.0998,0.0008,0.0008,0.0008,0.0008,0.0008,0.0015,0.0076,0.0008,0.0008,0.0008,0.0008,0.0008,0.0015,0.0023,0.0008,0.0008,0.9047,0.0023,0.0008,	22	,0.0015,0.0658,0.0008,0.003,0.0008,0.028,0.0144,0.0008,0.0575,0.0008,0.0008,0.003,0.003,0.0272,0.0008,0.0658,0.0008,0.0015,0.0008,0.0008,0.0008,0.0098,	4	6
ENSG00000004948	6	,0.4592,0.0008,0.0113,0.0008,0.0008,0.357,	10	,0.0008,0.0008,0.0008,0.0189,0.0242,0.0008,0.0681,0.1974,0.0008,0.0121,	1	2
ENSG00000004961	0	,	0	,	0	0
ENSG00000004975	13	,0.0076,0.0045,0.0015,0.0182,0.0015,0.0008,0.0015,0.0008,0.0008,0.0008,0.0053,0.0023,0.0008,	15	,0.0008,0.0008,0.0008,0.416,0.0008,0.0076,0.9992,0.1513,0.0008,0.0053,0.3018,0.267,0.0008,0.0015,0.0015,	0	3
ENSG00000005001	2	,0.003,0.0023,	3	,0.0076,0.0023,0.003,	3	2
ENSG00000005007	3	,0.0008,0.003,0.0008,	18	,0.0121,0.0015,0.0015,0.0008,0.0008,0.0045,0.0318,0.0023,0.0015,0.0045,0.0091,0.0008,0.1188,0.0045,0.0008,0.0318,0.0008,0.0008,	0	2
ENSG00000005020	7	,0.062,0.0008,0.298,0.0008,0.0008,0.0015,0.093,	2	,0.0877,0.0008,	1	1
ENSG00000005022	0	,	0	,	0	0
ENSG00000005059	8	,0.8654,0.0008,0.0008,0.0015,0.0015,0.059,0.171,0.0008,	5	,0.0166,0.0015,0.1415,0.0068,0.0008,	4	2
ENSG00000005073	1	,0.0023,	3	,0.0174,0.0008,0.0068,	0	0
ENSG00000005075	1	,0.0023,	1	,0.0008,	0	2
ENSG00000005100	23	,0.0038,0.0008,0.0083,0.0038,0.0008,0.0015,0.0008,0.0008,0.0008,0.0008,0.0008,0.0711,0.0008,0.0008,0.0008,0.0015,0.0008,0.0015,0.0008,0.233,0.0008,0.0113,0.0008,	8	,0.0356,0.0038,0.0008,0.0008,0.0061,0.0008,0.0008,0.0242,	3	4
ENSG00000005102	9	,0.0023,0.0038,0.0023,0.0008,0.025,0.003,0.0008,0.3578,0.0257,	0	,	2	0
ENSG00000005108	55	,0.0008,0.0038,0.0053,0.003,0.0008,0.0061,0.0098,0.0015,0.0015,0.0008,0.0008,0.0008,0.0023,0.0038,0.0008,0.1195,0.0008,0.0008,0.0008,0.0008,0.0008,0.0135999999999999,0.0015,0.0008,0.0023,0.0008,0.0008,0.997,0.0008,0.0068,0.0008,0.0106,0.0008,0.0008,0.0015,0.0008,0.0015,0.0151,0.0008,0.0008,0.0008,0.0008,0.0136,0.003,0.0008,0.0008,0.0015,0.0015,0.0008,0.0008,0.0045,0.0045,0.003,0.0061,0.003,	30	,0.0008,0.0953,0.0356,0.0008,0.0008,0.0008,0.003,0.0008,0.0038,0.0083,0.0008,0.0424,0.0068,0.8812,0.0083,0.4902,0.0008,0.0008,0.0794,0.8109,0.0008,0.0008,0.0038,0.0106,0.0098,0.0008,0.8351,0.0098,0.9962,0.0015,	2	1
ENSG00000005156	14	,0.0015,0.0008,0.0008,0.0015,0.0008,0.0008,0.0008,0.0008,0.0847,0.0008,0.0008,0.0008,0.0008,0.0008,	16	,0.0045,0.0008,0.0015,0.0008,0.0008,0.0008,0.0008,0.0053,0.0015,0.0008,0.0008,0.0189,0.0847,0.0045,0.0015,0.0008,	2	2
ENSG00000005175	11	,0.0015,0.0008,0.0008,0.0061,0.0015,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,	5	,0.0023,0.0015,0.0008,0.1566,0.0008,	3	1
ENSG00000005187	11	,0.0113,0.0015,0.0008,0.0008,0.0144,0.0023,0.0008,0.1074,0.0045,0.0008,0.0151,	6	,0.0008,0.2057,0.0068,0.028,0.0106,0.9932,	3	1
ENSG00000005189	5	,0.0008,0.0008,0.0008,0.0008,0.0015,	5	,0.0008,0.0015,0.0008,0.3396,0.0023,	2	5
ENSG00000005194	6	,0.0129,0.0023,0.0144,0.0008,0.0499,0.0015,	4	,0.0257,0.0182,0.0008,0.0008,	2	3
ENSG00000005238	9	,0.003,0.0038,0.0015,0.0008,0.0159,0.003,0.0061,0.0008,0.0121,	7	,0.2171,0.028,0.0197,0.0590000000000001,0.0015,0.0189,0.0015,	1	3
ENSG00000005243	2	,0.0015,0.0008,	0	,	1	0
ENSG00000005249	2	,0.0008,0.0008,	9	,0.0038,0.0545,0.0197,0.1067,0.1422,0.0038,0.0008,0.0008,0.4917,	1	0
ENSG00000005302	0	,	0	,	0	0
ENSG00000005339	17	,0.0151,0.0008,0.0008,0.0008,0.0008,0.0053,0.0008,0.0008,0.0333,0.0008,0.0499,0.0023,0.0061,0.0008,0.0045,0.0023,0.0129,	46	,0.0015,0.0015,0.0008,0.0083,0.0688,0.0318,0.0159,0.034,0.0008,0.0053,0.0008,0.0023,0.0015,0.003,0.0008,0.0008,0.003,0.0008,0.062,0.0008,0.1657,0.0008,0.0008,0.0008,0.0015,0.003,0.0008,0.034,0.0008,0.0023,0.0008,0.0015,0.0008,0.003,0.0303,0.0015,0.0008,0.0008,0.0023,0.0008,0.7148,0.0008,0.003,0.0008,0.0008,0.0113,	1	4
ENSG00000005379	51	,0.0008,0.0083,0.6467,0.0008,0.0008,0.0083,0.0061,0.0121,0.0756,0.0076,0.0129,0.0008,0.0008,0.0008,0.0008,0.0008,0.1104,0.7625,0.0008,0.0015,0.0008,0.0008,0.0015,0.0045,0.8502,0.0015,0.0045,0.7761,0.0015,0.0008,0.0045,0.0439,0.0008,0.0008,0.0144,0.0514,0.0008,0.0015,0.0008,0.0008,0.0008,0.003,0.0015,0.0144,0.0008,0.0514,0.0008,0.0015,0.0008,0.0076,0.0008,	34	,0.0386,0.0008,0.0008,0.0008,0.1089,0.0287,0.0053,0.0008,0.6914,0.0008,0.0015,0.7027,0.0008,0.0015,0.0023,0.0008,0.0091,0.1097,0.0008,0.0015,0.0008,0.0015,0.0008,0.0008,0.0015,0.0106,0.0446,0.0038,0.0008,0.0008,0.0008,0.0008,0.0537,0.0008,	7	7
ENSG00000005381	15	,0.0106,0.0068,0.003,0.0008,0.0008,0.0008,0.0008,0.0015,0.0038,0.0008,0.0008,0.0015,0.0015,0.0008,0.1959,	12	,0.0151,0.0015,0.0008,0.0189,0.0083,0.0968,0.0045,0.0023,0.003,0.0008,0.0015,0.0038,	1	1
ENSG00000005421	8	,0.0023,0.2474,0.0008,0.0023,0.1498,0.0008,0.0008,0.0295,	1	,0.4024,	0	2
ENSG00000005436	26	,0.0008,0.0023,0.0008,0.0091,0.0136,0.5265,0.003,0.003,0.0023,0.0015,0.0643,0.003,0.0008,0.2012,0.0015,0.0008,0.0151,0.0015,0.0008,0.0008,0.0008,0.0008,0.211,0.0008,0.0076,0.3268,	9	,0.0045,0.0008,0.2065,0.0045,0.0008,0.0053,0.0008,0.0045,0.0008,	8	6
ENSG00000005448	11	,0.0008,0.0008,0.0008,0.0098,0.0008,0.0008,0.0015,0.0008,0.0008,0.0008,0.0008,	6	,0.0008,0.0038,0.0015,0.0008,0.0008,0.0008,	1	1
ENSG00000005469	17	,0.0008,0.0008,0.0076,0.0008,0.0008,0.0015,0.0008,0.0015,0.0008,0.0008,0.1021,0.0015,0.0008,0.0008,0.0015,0.0008,0.0008,	4	,0.9342,0.0008,0.0008,0.003,	1	0
ENSG00000005471	23	,0.0008,0.0015,0.0008,0.0008,0.0023,0.0174,0.0008,0.0008,0.0938,0.0008,0.0008,0.6006,0.0076,0.025,0.0756,0.0756,0.0008,0.0008,0.003,0.0061,0.0015,0.0008,0.0113,	18	,0.0008,0.0023,0.0015,0.0129,0.0008,0.0008,0.0008,0.0386,0.0008,0.0008,0.0008,0.0038,0.3389,0.0189,0.062,0.0068,0.4939,0.0635,	1	4
ENSG00000005483	24	,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0015,0.0023,0.0008,0.0008,0.0008,0.0015,0.0182,0.0008,0.0136,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,	11	,0.0038,0.0008,0.0015,0.41,0.0015,0.0053,0.0136,0.0008,0.0015,0.0008,0.003,	2	1
ENSG00000005513	8	,0.0008,0.0008,0.0008,0.0008,0.0015,0.0083,0.0008,0.0015,	13	,0.0295,0.0023,0.003,0.0189,0.0008,0.0015,0.4228,0.0008,0.0045,0.1188,0.0008,0.0212,0.0008,	2	6
ENSG00000005700	16	,0.0008,0.0008,0.0015,0.2519,0.0008,0.0424,0.0008,0.0197,0.0008,0.0008,0.0091,0.0008,0.0197,0.0008,0.0091,0.025,	13	,0.0408,0.0008,0.0008,0.0008,0.0045,0.0053,0.0015,0.0008,0.0008,0.0015,0.0023,0.2912,0.0477,	3	3
ENSG00000005801	12	,0.0008,0.0008,0.0023,0.0083,0.0015,0.0008,0.0023,0.0136,0.0015,0.0794,0.0008,0.0023,	9	,0.0129,0.0008,0.003,0.0008,0.0008,0.0008,0.0038,0.0015,0.0008,	9	7
ENSG00000005810	32	,0.0008,0.0023,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.003,0.0008,0.0008,0.0008,0.0008,0.0068,0.0688,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0015,0.0008,0.0061,0.0008,0.0008,0.0008,	42	,0.0522,0.0008,0.0772,0.0008,0.1256,0.0038,0.0008,0.0045,0.0015,0.0008,0.0038,0.0008,0.0015,0.0008,0.0015,0.0038,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0015,0.0008,0.003,0.0038,0.093,0.0008,0.1263,0.0008,0.3056,0.0008,0.003,0.0008,0.0008,0.0045,0.0038,0.0008,0.0023,0.0008,0.0008,0.0008,	3	6
ENSG00000005812	1	,0.0008,	6	,0.0439,0.0008,0.0008,0.0023,0.0015,0.0008,	0	2
ENSG00000005844	14	,0.0008,0.0257,0.0023,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.118,0.4206,0.0008,0.0303,0.0008,	11	,0.0008,0.0038,0.3086,0.0477,0.0008,0.0008,0.0008,0.0061,0.0106,0.0015,0.0015,	3	7
ENSG00000005882	6	,0.0008,0.0015,0.0008,0.003,0.0008,0.0008,	10	,0.0113,0.034,0.5068,0.0015,0.0008,0.0091,0.0136,0.0008,0.0068,0.0121,	0	0
ENSG00000005884	25	,0.0008,0.0015,0.0008,0.0008,0.0015,0.0008,0.0008,0.0008,0.0461,0.0008,0.0015,0.0008,0.003,0.0015,0.0076,0.0008,0.0008,0.0008,0.0008,0.0008,0.0015,0.0015,0.0015,0.0008,0.0008,	13	,0.0023,0.0545,0.0499,0.0045,0.6589,0.5598,0.0023,0.0015,0.0015,0.0008,0.0023,0.0008,0.1868,	4	9
ENSG00000005889	0	,	0	,	0	0
ENSG00000005893	0	,	0	,	0	0
ENSG00000005961	17	,0.003,0.0189,0.0015,0.0008,0.0008,0.0008,0.0008,0.0008,0.0159,0.0076,0.0008,0.0083,0.0023,0.0015,0.0008,0.0008,0.0008,	10	,0.4266,0.0015,0.0008,0.0159,0.0008,0.0174,0.0023,0.0318,0.0008,0.0008,	4	3
ENSG00000005981	5	,0.1241,0.0015,0.0008,0.0008,0.0008,	5	,0.0008,0.0008,0.0008,0.0008,0.0008,	0	3
ENSG00000006007	4	,0.0159,0.0008,0.0008,0.0008,	2	,0.0008,0.0734,	1	2
ENSG00000006015	3	,0.0015,0.0015,0.0106,	2	,0.0008,0.084,	1	2
ENSG00000006016	1	,0.0008,	4	,0.0015,0.0242,0.0779,0.0008,	1	5
ENSG00000006025	11	,0.0008,0.0023,0.0008,0.0038,0.0121,0.0008,0.0053,0.0008,0.0303,0.0008,0.0015,	14	,0.2315,0.2995,0.0008,0.0643,0.0219,0.0008,0.0008,0.0015,0.0008,0.0008,0.0121,0.0008,0.0008,0.0303,	2	3
ENSG00000006042	4	,0.025,0.0008,0.0008,0.0053,	2	,0.0772,0.0008,	0	1
ENSG00000006047	6	,0.0008,0.0008,0.0015,0.0023,0.6921,0.1558,	2	,0.0015,0.0008,	1	3
ENSG00000006071	24	,0.0272,0.003,0.0008,0.025,0.0015,0.0008,0.0008,0.0008,0.003,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0015,0.0068,0.0008,0.0015,0.0008,0.0008,0.0015,0.0008,	30	,0.0303,0.0015,0.0098,0.0008,0.0008,0.0015,0.0045,0.77,0.0008,0.0008,0.0008,0.0121,0.003,0.0257,0.289,0.0015,0.0008,0.171,0.0098,0.0015,0.5159,0.0318,0.0499,0.0061,0.0008,0.0008,0.0461,0.1422,0.3729,0.0008,	1	9
ENSG00000006116	2	,0.0008,0.0008,	3	,0.0008,0.0023,0.0129,	0	1
ENSG00000006118	29	,0.0008,0.0008,0.0015,0.0015,0.0008,0.003,0.0008,0.003,0.0023,0.0008,0.0008,0.0053,0.0008,0.0023,0.0015,0.0008,0.2277,0.0015,0.0015,0.0356,0.0242,0.0015,0.0015,0.0008,0.0008,0.0008,0.0015,0.4735,0.0008,	13	,0.0212,0.0219,0.4728,0.0015,0.0961,0.0083,0.5287,0.5287,0.0008,0.0053,0.1278,0.0038,0.0008,	8	4
